supplier_id,supplier,country,website,contact_page,export_contact_email_if_public,product_category,existing_or_private_label,MOQ,EXW,FOB,currency,Incoterm,port,bottle_size,bottle_weight,case_configuration,pallet_configuration,lead_time,production_time,payment_terms,label_cost,carton_cost,sample_policy,annual_capacity,certificates,turkey_export_experience,quote_publication_date,source,confidence,price_source_class,price_layer,priority,evidence_id,notes
SUP-461,Purcari Wineries Group,"Moldova (+ Romania, Bulgaria)",https://purcariwineries.com/en/,https://purcariwineries.com/contacts/,purcari@purcari.wine,"Bottled still wine + brandy; markalar: Purcari, Bostavan, Crama Ceptura, Domeniile Cuza, Angels Estate",EXISTING_BRAND_DISTRIBUTION (private label UNKNOWN),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,750,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"UNKNOWN (7 tesis, 1450+ ha)",UNKNOWN,UNKNOWN,UNKNOWN,Uretici kurumsal sitesi + yatirimci bilgileri (T4),MEDIUM,NONE,-,B,EV-2026-08-10-462,MD Turkiye'ye EN DUSUK L2 CIF menseidir (2.46 USD/l) ve hat calisiyor (2.038.906 l/2025). ANCAK grup kendini 'most premium' diye konumlandiriyor — TERS sinyal. Halka acik (BVB: WINE) = en seffaf tedarikci.
SUP-462,O'Neill Vintners & Distillers,USA (California),https://oneillwine.com/,https://oneillwine.com/contact,UNKNOWN,"Bottled + canned; Parlier (Central Valley), Paso Robles, Sonoma",PRIVATE_LABEL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,750,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"UNKNOWN (sektor kaynagi 15 m galon/yil — T5, modele girmedi)",UNKNOWN,UNKNOWN — ABD-TR hatti fiilen yok (18.298 l/2025),UNKNOWN,Uretici kurumsal sitesi (T4),MEDIUM,NONE,-,C,EV-2026-08-10-463,"CA'da 2. dogrulanmis PL saglayicisi. Ana tesis Central Valley — C-403'un 'Central Valley' ayagini DOLAYLI destekler, COZMEZ. IHRACAT kabiliyeti sitede dogrulanmadi."
SUP-463,Vina Luis Felipe Edwards,Chile,https://lfewines.com/ (2026-08-10: /en/ HTTP 404),https://www.winesofchile.org/member/luis-felipe-edwards/,ignacio.edwards@lfewines.com (ucuncu taraf dizin kaydi),Bottled still wine; Colchagua ve diger vadiler,EXISTING_BRAND_DISTRIBUTION (private label UNKNOWN),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,750,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (100+ ulke),UNKNOWN,Ucuncu taraf sirket dizinleri + Wines of Chile uye listesi (T4),LOW,NONE,-,C,EV-2026-08-10-465,"Kurumsal site erisilemedi. 'Premium bottled' nitelemesi segmentimizle TERS sinyal. CL->TR hatti calisiyor (946.350 l/2025, L2 CIF 2.89 USD/l)."
SUP-464,Bronco Wine Company,USA (California),https://www.broncowine.com/,https://www.broncowine.com/connect/contact,UNKNOWN,Bottled still wine; 60+ marka (kaynak T5),UNKNOWN — private label kurumsal sitede DOGRULANAMADI,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,750,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN — ABD-TR hatti fiilen yok,UNKNOWN,Uretici kurumsal sitesi (T4) — NEGATIF BULGU,MEDIUM,NONE,-,C,EV-2026-08-10-466,ABD deger segmentinin en bilinen ureticisi ama PL kabiliyeti KANITLANAMADI. broncowine-trade.com okunmadi. 'Uygunluk kanit degildir.'
SUP-465,Geo Vino Wines,USA (cok menseli: AR/CL/IT/FR/CA),https://www.geovinowines.com/,https://www.geovinowines.com/private-label/,info@geovinowines.com,"Private label; 750 ml, 375 ml, 3L BIB, 2.5L pouch, can, 19.5L keg",PRIVATE_LABEL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,750,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN — is modeli ABD ic pazari (50 eyalet),UNKNOWN,Kurumsal site (T4),LOW,NONE,-,C,EV-2026-08-10-470,"URETICI DEGIL, NEGOCIANT. Cok menseli olmasi tek-mense riskine karsi HIPOTEZ. One Harbor Drive, Sausalito CA."
SUP-401,Interbrosa Family Wines,Spain,https://www.interbrosa.com/ (2026-08-10: HTTP 503),https://www.interbrosa.com/private-brands/,info@interbrosa.es,Bottled + BIB 3/5/10/20L; vegan/organik/helal secenekleri,PRIVATE_LABEL,3000 sise (4 palet/sarap),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,750,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,tasarim 'ek ucretsiz' beyani; KLISE/BASKI maliyeti UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO_EVIDENCE (NO/DK/Baltik referanslari),UNKNOWN,"Uretici kurumsal sitesi (T4, 2026-08-09)",MEDIUM,NONE,-,A,EV-2026-08-09-408; EV-2026-08-10-467,TUR 1 devri. Site 2026-08-10'da 503 — e-posta/telefonla ulasilmali. Dogrulanmis EN DUSUK MOQ'nun tek kaynagi.
SUP-402,Vina Maria,Spain,https://www.vinamaria.es/,https://www.vinamaria.es/private-label-oem-wine,UNKNOWN (web form),Bottled; hazir etiket havuzu + ozel tasarim,PRIVATE_LABEL,1 x 20ft KARISIK konteyner (2 farkli sarap),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,750,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,15.000.000 sise,UNKNOWN,UNKNOWN,UNKNOWN,"Uretici kurumsal sitesi (T4, 2026-08-09)",MEDIUM,NONE,-,B,EV-2026-08-09-409,TUR 1 devri. MOQ KONTEYNER BAZLI -> 5.000'lik pilot ile UYUMSUZ olabilir. Fiyat listesi TALEP EDILEBILIR (RFQ hedefi).
SUP-403,Vinicola Vedovato Mario SRL,Italy,https://www.vinicolavedovato.com/,https://www.vinicolavedovato.com/,info@vinicolavedovato.com,Bottled; adanmis siseleme tesisi + depolama + ihracat dokumantasyonu,PRIVATE_LABEL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,EXW/FOB/CIF/DAP — dordu de gorusulebilir beyani,UNKNOWN,750,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"NO_EVIDENCE (US, CA, Kuzey Avrupa, DE, UK, CZ)",UNKNOWN,"Uretici kurumsal sitesi (T4, 2026-08-09)",MEDIUM,NONE,-,B,EV-2026-08-09-417,"TUR 1 devri. Incoterm ESNEKLIGI havuzda benzersiz — RFQ 3.16 icin en iyi test adayi. Trebaseleghe (PD), Veneto."
SUP-404,The Wine Factory (SARL),France,https://www.twf-wines.com/,https://www.twf-wines.com/,UNKNOWN (tel: +33 5 56 61 91 12),"Bottled; AOP Bordeaux / Corbieres / Cotes de Provence; Sauvignon, Viognier",PRIVATE_LABEL,3600 sise,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,750,UNKNOWN,UNKNOWN,UNKNOWN,28-42 gun (uretim) + navlun,"28-42 gun (4-6 hafta, odeme sonrasi)",UNKNOWN ('odeme sonrasi uretim' ifadesi pesin ipucu),sise stili/kabartma/yaldiz/cam kapak secenekleri; maliyet UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Uretici kurumsal sitesi (T4, 2026-08-09)",MEDIUM,NONE,-,A,EV-2026-08-09-410,TUR 1 devri. DUSUK MOQ (3600) + BILINEN URETIM SURESI — pilot icin en somut aday. Bordeaux (Gornac) + Languedoc (Valros).
SUP-405,Antawara Vineyards,Chile,https://antawara-wines.cl/,https://antawara-wines.cl/contact/,UNKNOWN (web form),Bottled; Entry/Varietal/Reserve/Grand Reserve/Family Reserve kademeleri,PRIVATE_LABEL,UNKNOWN ('convenient' denip sayi verilmemis),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,750,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (12+ ulke),UNKNOWN,"Uretici kurumsal sitesi (T4, 2026-08-09)",MEDIUM,NONE,-,B,EV-2026-08-09-415,TUR 1 devri. Kendini ITHALATCI PRIVATE LABEL'INA TAM ODAKLI tanimliyor — bu is modeli ile en uyumlu Sili adayi. 'Entry' kademesi segmentimize denk gelebilir.
SUP-406,Corta Hojas Export Wine,Chile,https://www.cortahojas.com/,https://www.cortahojas.com/private-labels-wines.php,info@cortahojas.com,"Bottled + BIB + bulk; BEYAZ: Sauvignon Blanc, Chardonnay",PRIVATE_LABEL,UNKNOWN (2026-08-10'da HALA yayinlanmamis),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,750,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (Turkiye ihracat bolgeleri arasinda ANILMIYOR),UNKNOWN,"Uretici kurumsal sitesi (T4, 2026-08-10 yeniden okundu)",MEDIUM,NONE,-,A,EV-2026-08-09-416; EV-2026-08-10-464,"TUR 1 devri + TUR 2 urun detayi. BEYAZ CESITLER URUN TANIMIYLA ESLESIYOR. %100 ihracat odakli. Curico, Maule."
SUP-407,Origin Wine,South Africa,https://origin.wine/,https://origin.wine/,info@originwine.co.za,Bottled; 'Bespoke Brands' (musteri markasi) programi,PRIVATE_LABEL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,750,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,100+ m litre/yil,UNKNOWN,"NO_EVIDENCE (UK, US, CA, RU, NL, SE, DK, DE)",UNKNOWN,"Uretici kurumsal sitesi (T4, 2026-08-09)",MEDIUM,NONE,-,B,EV-2026-08-09-412,"TUR 1 devri. ZA + AR (Mendoza) + CH kaynakli COK MENSELI — tek mense bagimliligini azaltabilir. Merkez Banbury, UK."
SUP-408,FMS Wine Marketing,South Africa,https://fms-wine-marketing.co.za/,https://fms-wine-marketing.co.za/private-label-bulk-wine/,info@fms-wine-marketing.co.za,Bottled + bulk,PRIVATE_LABEL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,750,UNKNOWN,UNKNOWN,UNKNOWN,~28 gun,~28 gun,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Kurumsal site (T4, 2026-08-09)",LOW,NONE,-,C,EV-2026-08-09-411,TUR 1 devri. URETICI DEGIL pazarlama/aracilik firmasi — ek marj katmani riski. Ihracat onayi DAFF uzerinden.
SUP-409,Kingston Estate Wines,Australia,https://www.kingstonestatewines.com/,https://www.kingstonestatewines.com/,UNKNOWN (tel: +61 8 8583 0500),BULK agirlikli; bottled da var; kendi markalari Kingston Estate / Echelon,PRIVATE_LABEL,UNKNOWN (SISELENMIS icin ozellikle sorulmali),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,750,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,50+ m litre/yil,UNKNOWN,UNKNOWN,UNKNOWN,"Uretici kurumsal sitesi (T4, 2026-08-09)",MEDIUM,NONE,-,C,EV-2026-08-09-413,"TUR 1 devri. Avustralya'nin en buyuk private brand ureticisi IDDIASI. Is modeli DOKME agirlikli — siselenmis bitmis urun kabiliyeti belirsiz. Riverland, SA."
SUP-410,Scheid Family Wines,USA (California),https://scheidfamilywines.com/,https://scheidfamilywines.com/pages/private-label-brands,contact_sfw@scheidfamilywines.com,Bottled; 'full-service private label program' + harman gelistirme,PRIVATE_LABEL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,750,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN — ABD-TR hatti fiilen yok,UNKNOWN,"Uretici kurumsal sitesi (T4, 2026-08-09)",MEDIUM,NONE,-,C,EV-2026-08-09-414,"TUR 1 devri. Benchmark mensei (California) ile dogrudan eslesme adayi. Monterey County — Central Valley DEGIL, C-403 acisindan notlanmali."
SUP-411,Casa Santos Lima,Portugal,https://www.casasantoslima.com/en/,https://www.casasantoslima.com/en/contact/,UNKNOWN (web form),"Bottled; markalar: Quinta da Espiga, Quinta das Setencostas, Palha-Canas",EXISTING_BRAND_DISTRIBUTION,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,750,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (~50 ulke; uretimin ~%90'i ihracat),UNKNOWN,"Uretici kurumsal sitesi (T4, 2026-08-09)",MEDIUM,NONE,-,A,EV-2026-08-09-418,TUR 1 devri. MODEL A'nin ILK ve en olgun adayi. Private label sitede ANILMIYOR = UNKNOWN. TR'de temsilci UNKNOWN (T-464). PT->TR hatti calisiyor (324.828 l/2025).
